net,length_um
_0473_,640.6
_0479_,547.98
_0392_,502.42
_0467_,499.37
_0470_,486.43
_0476_,479.1
clknet_1_0__leaf_clk,474.16
_0396_,467.27
clknet_1_1__leaf_clk,445.4
_0455_,445.11
_2110_,430.57
_2102_,412.71
_0390_,406.44
_0393_,406.1
_1951_,397.34
_0408_,393.26
net4,382.01
_0399_,379.03
_0482_,377.92
_2104_,370.21
_0405_,363.18
_0402_,362.53
_0461_,359.22
_0485_,354.195
_0623_,351.3
_0387_,351.12
_2108_,350.82
_0411_,341.36
_2067_,341.32
_2105_,336.55
_0428_,335.96
_2088_,334.42
_0593_,333.2
_0592_,329.73
net9,329.55
_0579_,326.64
_1946_,325.11
net16,324.98
_2087_,317.6
net41,315.59
_0398_,314.86
_0595_,313.14
net7,306.96
_0417_,305.22
_0582_,304.78
_0605_,296.04
net31,294.65
net22,293.215
_0584_,290.74
_0489_,286.45
_0414_,281.49
_0587_,277.585
net1,272.07
_0440_,271.9
_0497_,269.96
net23,264.495
net26,264.24
net42,262.38
net25,259.36
RAM1.mem\[11\]\[6\],258.84
_0404_,258.82
net14,255.09
_0464_,250.32
_0583_,246.8
_0591_,246.04
_0449_,245.64
net43,244.72
_0600_,243.405
net35,242.82
_1454_,241.14
_0596_,239.205
net33,235.81
_1308_,234.07
_2063_,232.45
_0410_,231.8
net44,230.85
_0498_,228.93
_0457_,228.88
RAM1.mem\[13\]\[6\],228.26
_1145_,227.3
_0586_,226.85
_2075_,225.36
_0589_,223.535
RAM1.mem\[9\]\[6\],222.97
_0833_,220.23
_0580_,219.4
net15,218.97
RAM1.mem\[8\]\[6\],217.73
_2058_,212.8
net18,212.62
net30,211.94
_1220_,211.2
net45,211.04
net17,209.6
_0581_,204.945
_0599_,204.27
_0443_,203.04
_2046_,200.98
_1263_,198.44
clknet_leaf_0_clk,195.335
_1155_,194.51
_0578_,193.56
_0401_,192.405
RAM1.mem\[12\]\[6\],191.94
_1116_,191.82
_0419_,190.86
_1118_,189.615
_1138_,185.2
_0389_,184.39
net19,183.33
RAM1.mem\[21\]\[2\],183.25
clknet_leaf_2_clk,182.795
clknet_leaf_13_clk,182.46
net39,181.75
RAM1.mem\[19\]\[6\],180.96
_0838_,179.845
_0416_,179.64
_1939_,179.52
_0825_,177.575
